Gene Group 1	Enrichment Score: 15.135760912085946
221919_at	heterogeneous nuclear ribonucleoprotein A1-like 3; similar to heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene 2; heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene
227979_at	RNA binding motif protein 4B
202408_s_at	PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae)
"213152_s_at, 238929_at, 228760_at, 214789_x_at"	"splicing factor, arginine/serine-rich 2B"
227110_at	heterogeneous nuclear ribonucleoprotein C (C1/C2)
201031_s_at	heterogeneous nuclear ribonucleoprotein H1 (H)
225593_at	"LSM10, U7 small nuclear RNA associated"
"213742_at, 200686_s_at, 200685_at, 236948_x_at"	"splicing factor, arginine/serine-rich 11"
219119_at	"LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
230270_at	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B
201544_x_at	"poly(A) binding protein, nuclear 1"
"211929_at, 211932_at"	heterogeneous nuclear ribonucleoprotein A3
213649_at	"splicing factor, arginine/serine-rich 7, 35kDa"
202903_at	"LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
201376_s_at	heterogeneous nuclear ribonucleoprotein F
201406_at	ribosomal protein L36a pseudogene 51; ribosomal protein L36a pseudogene 37; ribosomal protein L36a pseudogene 49; heterogeneous nuclear ribonucleoprotein H2 (H'); ribosomal protein L36a
201221_s_at	small nuclear ribonucleoprotein 70kDa (U1)
"201356_at, 227516_at"	"splicing factor 3a, subunit 1, 120kDa"
200097_s_at	heterogeneous nuclear ribonucleoprotein K; similar to heterogeneous nuclear ribonucleoprotein K
226975_at	"RNA-binding region (RNP1, RRM) containing 3"
208804_s_at	"splicing factor, arginine/serine-rich 6; similar to arginine/serine-rich splicing factor 6"
"213593_s_at, 229574_at"	transformer 2 alpha homolog (Drosophila)
"213762_x_at, 225310_at"	"similar to RNA binding motif protein, X-linked; similar to hCG2011544; RNA binding motif protein, X-linked"
"203380_x_at, 212266_s_at"	"splicing factor, arginine/serine-rich 5"
232004_at	heterogeneous nuclear ribonucleoprotein R
233208_x_at	"cleavage and polyadenylation specific factor 2, 100kDa"
"212030_at, 1557081_at, 212031_at, 212033_at, 212027_at"	RNA binding motif protein 25

Gene Group 4	Enrichment Score: 9.801470498423882
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
214661_s_at	NOP14 nucleolar protein homolog (yeast)
239790_s_at	exosome component 2
221514_at	"UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)"
218462_at	brix domain containing 5
218715_at	"UTP6, small subunit (SSU) processome component, homolog (yeast)"
212499_s_at	FCF1 small subunit (SSU) processome component homolog (S. cerevisiae)
"204405_x_at, 217106_x_at, 226480_at"	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)
201922_at	hypothetical gene supported by NM_014886; TGF beta-inducible nuclear protein 1; similar to TGF beta-inducible nuclear protein 1
217962_at	NOP10 ribonucleoprotein homolog (yeast)
235038_at	"KRR1, small subunit (SSU) processome component, homolog (yeast)"
"91684_g_at, 58696_at, 218695_at"	exosome component 4
214427_at	NOP2 nucleolar protein homolog (yeast)
211623_s_at	fibrillarin

Gene Group 5	Enrichment Score: 8.445752312983986
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
213649_at	"splicing factor, arginine/serine-rich 7, 35kDa"
227979_at	RNA binding motif protein 4B
218478_s_at	"zinc finger, CCHC domain containing 8"
223716_s_at	"zinc finger, RAN-binding domain containing 2"
1553274_a_at	small nuclear ribonucleoprotein 48kDa (U11/U12)

Gene Group 6	Enrichment Score: 8.412993635319285
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
226934_at	"cleavage and polyadenylation specific factor 6, 68kDa"
212455_at	YTH domain containing 1
"211929_at, 211932_at"	heterogeneous nuclear ribonucleoprotein A3
"208610_s_at, 207435_s_at"	serine/arginine repetitive matrix 2; hypothetical LOC100132779
202251_at	PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae)
"212030_at, 1557081_at, 212031_at, 212033_at, 212027_at"	RNA binding motif protein 25
"201225_s_at, 201224_s_at"	serine/arginine repetitive matrix 1
202408_s_at	PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae)

Gene Group 7	Enrichment Score: 7.704847175364681
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
203156_at	A kinase (PRKA) anchor protein 11
"232509_at, 244511_at"	hypothetical protein LOC100134230; similar to KIAA0454 protein; similar to phosphodiesterase 4D interacting protein isoform 2; phosphodiesterase 4D interacting protein
"226317_at, 225519_at"	"protein phosphatase 4, regulatory subunit 2"
212675_s_at	centrosomal protein 68kDa
237958_at	microcephalin 1
225484_at	"testis specific, 14"
218827_s_at	centrosomal protein 192kDa
213956_at	centrosomal protein 350kDa

Gene Group 8	Enrichment Score: 6.827146165425005
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
216380_x_at	ribosomal protein S28 pseudogene 6; ribosomal protein S28 pseudogene 9; ribosomal protein S28
200026_at	ribosomal protein L34
200010_at	ribosomal protein L11
213377_x_at	ribosomal protein S12; ribosomal protein S12 pseudogene 4; ribosomal protein S12 pseudogene 11; ribosomal protein S12 pseudogene 9
213941_x_at	ribosomal protein S7; ribosomal protein S7 pseudogene 11; ribosomal protein S7 pseudogene 4; ribosomal protein S7 pseudogene 10
208646_at	ribosomal protein S14
201094_at	ribosomal protein S29 pseudogene 11; ribosomal protein S29 pseudogene 16; ribosomal protein S29 pseudogene 17; ribosomal protein S29 pseudogene 3; ribosomal protein S29 pseudogene 9; ribosomal protein S29
200937_s_at	ribosomal protein L5 pseudogene 34; ribosomal protein L5 pseudogene 1; ribosomal protein L5
200092_s_at	ribosomal protein L37
221476_s_at	ribosomal protein L15 pseudogene 22; ribosomal protein L15 pseudogene 18; ribosomal protein L15 pseudogene 17; ribosomal protein L15 pseudogene 3; ribosomal protein L15 pseudogene 7; ribosomal protein L15
200032_s_at	ribosomal protein L9; ribosomal protein L9 pseudogene 25
"221989_at, 200725_x_at, 217379_at"	ribosomal protein L10; ribosomal protein L10 pseudogene 15; ribosomal protein L10 pseudogene 6; ribosomal protein L10 pseudogene 16; ribosomal protein L10 pseudogene 9
217466_x_at	ribosomal protein S2 pseudogene 8; ribosomal protein S2 pseudogene 11; ribosomal protein S2 pseudogene 5; ribosomal protein S2 pseudogene 12; ribosomal protein S2 pseudogene 51; ribosomal protein S2 pseudogene 17; ribosomal protein S2 pseudogene 55; ribosomal protein S2 pseudogene 20; ribosomal protein S2
201909_at	"ribosomal protein S4, Y-linked 1"
"214271_x_at, 200088_x_at, 200809_x_at"	ribosomal protein L12 pseudogene 2; ribosomal protein L12 pseudogene 32; ribosomal protein L12 pseudogene 35; ribosomal protein L12 pseudogene 19; ribosomal protein L12 pseudogene 6; ribosomal protein L12; ribosomal protein L12 pseudogene 14
200715_x_at	ribosomal protein L13a pseudogene 7; ribosomal protein L13a pseudogene 5; ribosomal protein L13a pseudogene 16; ribosomal protein L13a; ribosomal protein L13a pseudogene 18
211976_at	ribosomal protein L35; ribosomal protein L35 pseudogene 1; ribosomal protein L35 pseudogene 2
200926_at	ribosomal protein S23
200018_at	ribosomal protein S13 pseudogene 8; ribosomal protein S13; ribosomal protein S13 pseudogene 2
"200717_x_at, 212042_x_at"	ribosomal protein L7 pseudogene 26; ribosomal protein L7 pseudogene 16; ribosomal protein L7; ribosomal protein L7 pseudogene 32; ribosomal protein L7 pseudogene 23; ribosomal protein L7 pseudogene 24; ribosomal protein L7 pseudogene 20
200741_s_at	ribosomal protein S27 pseudogene 29; ribosomal protein S27 pseudogene 9; ribosomal protein S27 pseudogene 23; ribosomal protein S27 pseudogene 13; ribosomal protein S27; ribosomal protein S27 pseudogene 21; ribosomal protein S27 pseudogene 7; ribosomal protein S27 pseudogene 6; ribosomal protein S27 pseudogene 19

Gene Group 9	Enrichment Score: 6.5637217837330395
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
"201990_s_at, 201989_s_at"	cAMP responsive element binding protein-like 2
222728_s_at	"TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa; small nucleolar RNA, H/ACA box 32; small nucleolar RNA, H/ACA box 25"
205965_at	"basic leucine zipper transcription factor, ATF-like"
235409_at	MAX gene associated
"205702_at, 215285_s_at, 234618_at, 210191_s_at, 235844_at"	putative homeodomain transcription factor 1
"228846_at, 226275_at, 206877_at"	MAX dimerization protein 1
227637_at	transcription factor CP2

Gene Group 10	Enrichment Score: 5.894933646527112
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
"222816_s_at, 233425_at"	"zinc finger, CCHC domain containing 2"
213853_at	"DnaJ (Hsp40) homolog, subfamily C, member 24"
1566852_at	tripartite motif-containing 42
225830_at	PDZ domain containing 8
230298_at	metallo-beta-lactamase domain containing 2
"214281_s_at, 212749_s_at"	ring finger and CHY zinc finger domain containing 1
"220606_s_at, 223401_at"	chromosome 17 open reading frame 48
206567_s_at	PHD finger protein 20
218967_s_at	phosphotriesterase related
222760_at	zinc finger protein 703
"226326_at, 229194_at, 227935_s_at"	polycomb group ring finger 5
215031_x_at	ring finger protein 126
218071_s_at	makorin ring finger protein 2
226758_at	LUC7-like 2 (S. cerevisiae)
"1556543_at, 226496_at"	"zinc finger, CCHC domain containing 7"
201780_s_at	ring finger protein 13
"1555789_s_at, 223081_at"	PHD finger protein 23
242808_at	ring finger protein 169
210458_s_at	TRAF family member-associated NFKB activator
218919_at	"zinc finger, AN1-type domain 1"
218263_s_at	"zinc finger, BED-type containing 5"
218059_at	zinc finger protein 706
207801_s_at	ring finger protein 10
230408_at	polycomb group ring finger 3
"226542_at, 204669_s_at, 210706_s_at, 204668_at"	ring finger protein 24
212485_at	G patch domain containing 8
213390_at	zinc finger CCCH-type containing 4
216399_s_at	S-phase cyclin A-associated protein in the ER
225005_at	PHD finger protein 13
"217760_at, 217759_at"	tripartite motif-containing 44
"201297_s_at, 201298_s_at"	"MOB1, Mps One Binder kinase activator-like 1B (yeast)"
203585_at	zinc finger protein 185 (LIM domain)
227536_at	zinc finger CCCH-type containing 13

Gene Group 11	Enrichment Score: 5.097598112900346
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
204014_at	dual specificity phosphatase 4
213848_at	dual specificity phosphatase 7
"213521_at, 203555_at"	"protein tyrosine phosphatase, non-receptor type 18 (brain-derived)"
228853_at	serine/threonine/tyrosine interacting protein
"234740_at, 208022_s_at"	CDC14 cell division cycle 14 homolog B (S. cerevisiae)

Gene Group 12	Enrichment Score: 5.094843287109886
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
213138_at	AT rich interactive domain 5A (MRF1-like)
"212614_at, 241837_at, 1563469_at"	AT rich interactive domain 5B (MRF1-like)
217909_s_at	MAX-like protein X
238005_s_at	"SIN3 homolog A, transcription regulator (yeast)"
"225800_at, 225798_at"	JAZF zinc finger 1
240415_at	interferon regulatory factor 2
229881_at	Kruppel-like factor 12
"213311_s_at, 221495_s_at"	transcription factor 25 (basic helix-loop-helix)
202979_s_at	CREB/ATF bZIP transcription factor
203247_s_at	zinc finger protein 24
223566_s_at	BCL6 co-repressor
211176_s_at	paired box 4
218486_at	Kruppel-like factor 11
212347_x_at	MAX dimerization protein 4
202814_s_at	hexamethylene bis-acetamide inducible 1
202963_at	"regulatory factor X, 5 (influences HLA class II expression)"
"215760_s_at, 204166_at"	strawberry notch homolog 2 (Drosophila)
"241365_at, 203408_s_at"	SATB homeobox 1
209352_s_at	"SIN3 homolog B, transcription regulator (yeast)"
"211698_at, 208670_s_at"	EP300 interacting inhibitor of differentiation 1
202616_s_at	methyl CpG binding protein 2 (Rett syndrome)
"207654_x_at, 216652_s_at"	"down-regulator of transcription 1, TBP-binding (negative cofactor 2)"
218401_s_at	zinc finger protein 281
218082_s_at	upstream binding protein 1 (LBP-1a)
"201083_s_at, 229454_at, 201084_s_at"	similar to Bcl-2-associated transcription factor 1 (Btf); BCL2-associated transcription factor 1
223492_s_at	leucine rich repeat (in FLII) interacting protein 1

Gene Group 13	Enrichment Score: 4.935847440013693
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
212615_at	chromodomain helicase DNA binding protein 9
"201211_s_at, 212514_x_at"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked"
214805_at	"similar to eukaryotic translation initiation factor 4A; small nucleolar RNA, H/ACA box 67; eukaryotic translation initiation factor 4A, isoform 1"
228152_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60-like
227447_at	superkiller viralicidic activity 2-like 2 (S. cerevisiae)
203785_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28
225549_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6
217884_at	N-acetyltransferase 10 (GCN5-related)
208152_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21
225026_at	chromodomain helicase DNA binding protein 6
220890_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47
221699_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50
208896_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
204558_at	RAD54-like (S. cerevisiae)
200058_s_at	"similar to U5 snRNP-specific protein, 200 kDa; small nuclear ribonucleoprotein 200kDa (U5)"
"200694_s_at, 200702_s_at"	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24
223139_s_at	DEAH (Asp-Glu-Ala-His) box polypeptide 36
213077_at	YTH domain containing 2
202577_s_at	DEAD (Asp-Glu-Ala-As) box polypeptide 19A
1570360_s_at	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked"
232013_at	chromosome 9 open reading frame 102
1553181_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31
"215693_x_at, 219108_x_at"	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27
209430_at	"BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)"
228285_at	tudor domain containing 9

Gene Group 14	Enrichment Score: 4.919738133616936
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
227708_at	eukaryotic translation elongation factor 1 alpha-like 7; eukaryotic translation elongation factor 1 alpha-like 3; similar to eukaryotic translation elongation factor 1 alpha 1; eukaryotic translation elongation factor 1 alpha 1
"225153_at, 225158_at"	"G elongation factor, mitochondrial 1"
224935_at	"eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa"
201024_x_at	eukaryotic translation initiation factor 5B
204540_at	eukaryotic translation elongation factor 1 alpha 2
219243_at	"GTPase, IMAP family member 4"

Gene Group 15	Enrichment Score: 4.908779296830855
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
221493_at	TSPY-like 1
204749_at	nucleosome assembly protein 1-like 3
228062_at	nucleosome assembly protein 1-like 5
1560339_s_at	nucleosome assembly protein 1-like 4
"214290_s_at, 218280_x_at, 218279_s_at"	"histone cluster 2, H2aa3; histone cluster 2, H2aa4"
215071_s_at	"histone cluster 1, H2ac"
230664_at	"H2B histone family, member M"
212205_at	"H2A histone family, member V"
214537_at	"histone cluster 1, H1d"
214554_at	"histone cluster 1, H2ag; histone cluster 1, H2ah; histone cluster 1, H2ai; histone cluster 1, H2ak; histone cluster 1, H2al; histone cluster 1, H2am"
"208754_s_at, 1556121_at"	nucleosome assembly protein 1-like 1

Gene Group 16	Enrichment Score: 4.608246077311555
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
225170_at	WD repeat domain 5
"204507_s_at, 235071_at"	WD repeat domain 92
226180_at	WD repeat domain 36
"1558956_s_at, 226098_at"	intraflagellar transport 80 homolog (Chlamydomonas)
214662_at	WD repeat domain 43
213031_s_at	WD repeat domain 73
231713_s_at	elongation protein 2 homolog (S. cerevisiae)
204431_at	"transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)"
"201760_s_at, 213734_at"	WD repeat and SOCS box-containing 2
56919_at	WD repeat domain 48
1554558_at	WD repeat domain 22
223068_at	echinoderm microtubule associated protein like 4
211724_x_at	"missing oocyte, meiosis regulator, homolog (Drosophila)"
235195_at	F-box and WD repeat domain containing 2
239858_at	transducin (beta)-like 1Y-linked
201606_s_at	PWP1 homolog (S. cerevisiae)
1562516_at	WD repeat domain 60
"224897_at, 224905_at, 224898_at"	WD repeat domain 26
219040_at	coronin 7
"218090_s_at, 229694_at"	bromodomain and WD repeat domain containing 2
1561589_a_at	neurobeachin-like 1
236698_at	"similar to dynein cytoplasmic 1 intermediate chain 2; dynein, cytoplasmic 1, intermediate chain 2"
218971_s_at	WD repeat domain 91
"204366_s_at, 212429_s_at"	"general transcription factor IIIC, polypeptide 2, beta 110kDa"
"214109_at, 212692_s_at"	"LPS-responsive vesicle trafficking, beach and anchor containing"
218882_s_at	WD repeat domain 3
241472_at	Dmx-like 1
201934_at	WD repeat domain 82
200609_s_at	WD repeat domain 1
224721_at	WD repeat domain 75
229389_at	ATG16 autophagy related 16-like 2 (S. cerevisiae)
226283_at	WD repeat domain 51B
201886_at	WD repeat domain 23
229141_at	WD repeat domain 33

Gene Group 17	Enrichment Score: 4.516690788353282
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
1569098_s_at	tumor protein p53 binding protein 1
212696_s_at	ring finger protein 4; hypothetical LOC644006
204099_at	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3"
1570299_at	mastermind-like 2 (Drosophila)
"227150_at, 205322_s_at, 205323_s_at"	metal-regulatory transcription factor 1
"226775_at, 226776_at"	enhancer of yellow 2 homolog (Drosophila)
209358_at	"TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa"
1554576_a_at	ets variant 4
207924_x_at	paired box 8
"202216_x_at, 211797_s_at, 211251_x_at"	"nuclear transcription factor Y, gamma"
207078_at	mediator complex subunit 6
230657_at	clock homolog (mouse)
"216071_x_at, 203506_s_at"	mediator complex subunit 12
206838_at	T-box 19
202611_s_at	mediator complex subunit 14
"224864_at, 224130_s_at"	steroid receptor RNA activator 1
209289_at	nuclear factor I/B
203692_s_at	E2F transcription factor 3
221260_s_at	cysteine-serine-rich nuclear protein 2
225053_at	"CCR4-NOT transcription complex, subunit 7"

Gene Group 18	Enrichment Score: 4.435746911871848
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
205543_at	heat shock 70kDa protein 4-like
233589_x_at	chromosome 9 open reading frame 167
226725_at	schlafen family member 5
227585_at	"ATPase family, AAA domain containing 1"
239852_at	methylmalonic aciduria (cobalamin deficiency) cblA type
222025_s_at	5-oxoprolinase (ATP-hydrolysing)

Gene Group 19	Enrichment Score: 4.273081421870574
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
218838_s_at	tetratricopeptide repeat domain 31
235597_s_at	RANBP2-like and GRIP domain containing 1; RANBP2-like and GRIP domain containing 2
203122_at	tetratricopeptide repeat domain 15
"229450_at, 204747_at"	interferon-induced protein with tetratricopeptide repeats 3
226557_at	tetratricopeptide repeat domain 5
46167_at	tetratricopeptide repeat domain 4
212009_s_at	stress-induced-phosphoprotein 1
"225178_at, 225180_at"	tetratricopeptide repeat domain 14
203153_at	interferon-induced protein with tetratricopeptide repeats 1
1556053_at	"DnaJ (Hsp40) homolog, subfamily C, member 7"

Gene Group 20	Enrichment Score: 3.5659704877799503
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
"227934_at, 229317_at"	karyopherin alpha 5 (importin alpha 6)
226428_at	transportin 2
"225766_s_at, 209226_s_at"	transportin 1
235927_at	"exportin 1 (CRM1 homolog, yeast)"
"211982_x_at, 214784_x_at"	exportin 6
209653_at	karyopherin alpha 4 (importin alpha 3)
200994_at	importin 7
202058_s_at	karyopherin alpha 1 (importin alpha 5)
234304_s_at	importin 11
213573_at	karyopherin (importin) beta 1

Gene Group 21	Enrichment Score: 3.316279477054003
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
234987_at	mitochondrial ribosomal protein 63
222275_at	mitochondrial ribosomal protein S30
220526_s_at	similar to mitochondrial ribosomal protein L20; mitochondrial ribosomal protein L20
222997_s_at	mitochondrial ribosomal protein S21
204599_s_at	mitochondrial ribosomal protein L28

Gene Group 22	Enrichment Score: 3.1690173124183425
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
"214107_x_at, 201454_s_at, 201455_s_at, 215090_x_at"	hypothetical protein FLJ11822; aminopeptidase puromycin sensitive
227567_at	archaelysin family metallopeptidase 2
209045_at	"X-prolyl aminopeptidase (aminopeptidase P) 1, soluble"
"38703_at, 217604_at"	aspartyl aminopeptidase
230032_at	O-sialoglycoprotein endopeptidase-like 1
217933_s_at	leucine aminopeptidase 3

Gene Group 23	Enrichment Score: 2.993172058099308
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
210190_at	syntaxin 11
212625_at	syntaxin 10
221500_s_at	syntaxin 16
"222708_s_at, 228091_at"	syntaxin 17
223023_at	blocked early in transport 1 homolog (S. cerevisiae)-like

Gene Group 24	Enrichment Score: 2.9595128052478183
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
217726_at	"coatomer protein complex, subunit zeta 1"
201264_at	"coatomer protein complex, subunit epsilon"
201583_s_at	Sec23 homolog B (S. cerevisiae)
"64418_at, 221937_at"	AP1 gamma subunit binding protein 1
212161_at	"adaptor-related protein complex 2, alpha 2 subunit"
1555733_s_at	"adaptor-related protein complex 1, sigma 3 subunit"
"243745_at, 230413_s_at, 230264_s_at, 203299_s_at, 203300_x_at"	"adaptor-related protein complex 1, sigma 2 subunit pseudogene; adaptor-related protein complex 1, sigma 2 subunit"

Gene Group 25	Enrichment Score: 2.9271873104271617
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
204184_s_at	"adrenergic, beta, receptor kinase 2"
238624_at	nemo-like kinase
207945_s_at	"casein kinase 1, delta"
226166_x_at	"serine/threonine kinase 36, fused homolog (Drosophila)"
"1566701_at, 221999_at"	vaccinia related kinase 3
203229_s_at	CDC-like kinase 2
206114_at	EPH receptor A4
"210059_s_at, 210058_at"	mitogen-activated protein kinase 13
205698_s_at	mitogen-activated protein kinase kinase 6
212629_s_at	protein kinase N2
"239162_at, 203139_at"	death-associated protein kinase 1
"227013_at, 223380_s_at"	"LATS, large tumor suppressor, homolog 2 (Drosophila)"
"202199_s_at, 202200_s_at"	SFRS protein kinase 1
202970_at	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
204063_s_at	unc-51-like kinase 2 (C. elegans)
218520_at	TANK-binding kinase 1
"209018_s_at, 209019_s_at"	PTEN induced putative kinase 1
40225_at	cyclin G associated kinase
235085_at	homolog of rat pragma of Rnd2
235780_at	"protein kinase, cAMP-dependent, catalytic, beta"
206216_at	SFRS protein kinase 3
206482_at	PTK6 protein tyrosine kinase 6
204068_at	"serine/threonine kinase 3 (STE20 homolog, yeast)"
206296_x_at	mitogen-activated protein kinase kinase kinase kinase 1
210379_s_at	tousled-like kinase 1
40420_at	serine/threonine kinase 10
"222548_s_at, 206571_s_at, 218181_s_at, 222547_at"	mitogen-activated protein kinase kinase kinase kinase 4
241871_at	calcium/calmodulin-dependent protein kinase IV
205805_s_at	receptor tyrosine kinase-like orphan receptor 1
209666_s_at	conserved helix-loop-helix ubiquitous kinase
213490_s_at	mitogen-activated protein kinase kinase 2 pseudogene; mitogen-activated protein kinase kinase 2
"202569_s_at, 202568_s_at"	MAP/microtubule affinity-regulating kinase 3
215776_at	insulin receptor-related receptor
227131_at	mitogen-activated protein kinase kinase kinase 3
"210582_s_at, 202193_at, 217475_s_at"	LIM domain kinase 2
204604_at	PFTAIRE protein kinase 1
"209622_at, 238572_at"	serine/threonine kinase 16
"210787_s_at, 212252_at"	"calcium/calmodulin-dependent protein kinase kinase 2, beta"
203104_at	colony stimulating factor 1 receptor
226853_at	BMP2 inducible kinase
203379_at	"ribosomal protein S6 kinase, 90kDa, polypeptide 1"
202788_at	mitogen-activated protein kinase-activated protein kinase 3
206279_at	"protein kinase, Y-linked"
202140_s_at	CDC-like kinase 3
1552578_a_at	myosin IIIB
"210962_s_at, 215483_at"	A kinase (PRKA) anchor protein (yotiao) 9
239859_x_at	cyclin-dependent kinase-like 1 (CDC2-related kinase)
1562026_at	WNK lysine deficient protein kinase 2
243256_at	MAP kinase interacting serine/threonine kinase 1
226375_at	lemur tyrosine kinase 2
207073_at	cyclin-dependent kinase-like 2 (CDC2-related kinase)
205418_at	feline sarcoma oncogene

Gene Group 26	Enrichment Score: 2.856498116360035
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
"202164_s_at, 202162_s_at"	"CCR4-NOT transcription complex, subunit 8"
227637_at	transcription factor CP2
225504_at	homeobox containing 1
206015_s_at	forkhead box J3
"201990_s_at, 201989_s_at"	cAMP responsive element binding protein-like 2
"203973_s_at, 213006_at"	"CCAAT/enhancer binding protein (C/EBP), delta"
236796_at	"BTB and CNC homology 1, basic leucine zipper transcription factor 2"
209782_s_at	D site of albumin promoter (albumin D-box) binding protein
205965_at	"basic leucine zipper transcription factor, ATF-like"
212345_s_at	cAMP responsive element binding protein 3-like 2
"205931_s_at, 229228_at"	cAMP responsive element binding protein 5

Gene Group 27	Enrichment Score: 2.8423651773216387
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
228109_at	Ras protein-specific guanine nucleotide-releasing factor 2
213039_at	Rho/Rac guanine nucleotide exchange factor (GEF) 18
"217576_x_at, 211665_s_at, 212870_at"	son of sevenless homolog 2 (Drosophila)
1553906_s_at	"FYVE, RhoGEF and PH domain containing 2"
209539_at	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6
234992_x_at	epithelial cell transforming sequence 2 oncogene

Gene Group 28	Enrichment Score: 2.576126627082893
